seed,epoch,train_acc,test_acc
0,1,0.8193874590741431,0.8115365489806067
0,2,0.7459074143147251,0.7372783026686557
0,3,0.8026026772763065,0.7997679429802752
0,4,0.8119275560528825,0.8024200232057019
0,5,0.8230759666790999,0.8143543842201226
0,6,0.8324008454556757,0.8312613956572187
0,7,0.7914128227444154,0.787336316923587
0,8,0.8299142111152555,0.8262887452345433
0,9,0.8126321024493348,0.8054036134593071
0,10,0.7539889759210908,0.7454002983590253
0,11,0.8097310290521779,0.8025857782197912
0,12,0.8279249036429193,0.8213160948118681
0,13,0.8090264826557255,0.8044090833747721
0,14,0.8127564341663558,0.8110392839383391
0,15,0.8325251771726968,0.8301011105585944
0,16,0.823821956981226,0.8188297696005304
0,17,0.8313233039081603,0.8267860102768109
0,18,0.7635210742260351,0.7608155146693187
0,19,0.81777114675287,0.8188297696005304
0,20,0.8168179369223756,0.8131940991214984
0,21,0.8128393219777031,0.8103762638819825
0,22,0.8411040656471466,0.8350737609812697
0,23,0.8330225040407808,0.8337477208685563
0,24,0.8362551286833271,0.8347422509530913
0,25,0.8210037713954162,0.8181667495441737
1,1,0.8209623274897426,0.824133930051384
1,2,0.8132537610344399,0.8105420188960716
1,3,0.6970450495254673,0.6993204044422344
1,4,0.83086742094575,0.8239681750372949
1,5,0.7920759252351942,0.787336316923587
1,6,0.8286294500393717,0.8246311950936516
1,7,0.7806788511749347,0.7763964859937013
1,8,0.83211073811596,0.8305983756008619
1,9,0.8287123378507191,0.8286093154317918
1,10,0.8002818185585809,0.8029172882479695
1,11,0.7690745575863069,0.767611470246975
1,12,0.8209623274897426,0.8194927896568871
1,13,0.8218740934145634,0.813691364163766
1,14,0.7194247585892495,0.7183822310624897
1,15,0.7920344813295205,0.7888281120503895
1,16,0.7634381864146877,0.7636333499088347
1,17,0.8323179576443284,0.8272832753190784
1,18,0.8244021716606573,0.8180009945300846
1,19,0.83211073811596,0.8302668655726836
1,20,0.8353019188528327,0.8352395159953588
1,21,0.8106842388826723,0.8160119343610144
1,22,0.8329396162294335,0.8282778054036135
1,23,0.8159476149032285,0.8163434443891928
1,24,0.8356334700982221,0.8378915962207857
1,25,0.8301628745492975,0.8291065804740594
2,1,0.8270131377180986,0.8264545002486325
2,2,0.7790210949479879,0.7739101607823636
2,3,0.820547888433006,0.820321564727333
2,4,0.7453686435409673,0.742250953091331
2,5,0.8249823863400887,0.8224763799104923
2,6,0.7987069501429814,0.7986076578816509
2,7,0.8198433420365535,0.8224763799104923
2,8,0.8132537610344399,0.8102105088678933
2,9,0.8227858593393842,0.8271175203049892
2,10,0.8155746197521655,0.8184982595723521
2,11,0.769571884454391,0.7656224100779049
2,12,0.8239048447925732,0.8247969501077408
2,13,0.7777777777777778,0.7785513011768606
2,14,0.8118446682415351,0.8199900546991546
2,15,0.7992457209167392,0.7994364329520968
2,16,0.8345559285507066,0.8317586606994861
2,17,0.7580504786771105,0.753522294049395
2,18,0.8358406896265904,0.8431957566716393
2,19,0.8302457623606448,0.8347422509530913
2,20,0.8329810601351071,0.8312613956572187
2,21,0.818144141903933,0.819327034642798
2,22,0.8260599278876041,0.8239681750372949
2,23,0.8306187575117079,0.8307641306149511
2,24,0.7401052675204112,0.739433117851815
2,25,0.7970491939160347,0.7952925575998674
