whiten,n_components,test_acc
False,2,0.9230769230769231
False,5,0.965034965034965
False,10,0.965034965034965
False,20,0.958041958041958
True,2,0.9090909090909091
True,5,0.9440559440559441
True,10,0.965034965034965
True,20,0.951048951048951
