model,best_alpha,best_l1_ratio,heldout_r2
OLS,nan,nan,-1.1195871879724466
Ridge,0.31622776601683794,nan,0.6256165955034505
Lasso,0.03162277660168379,nan,0.5599576549574428
ElasticNet,0.03162277660168379,0.5,0.5775695761370484
