alpha,cv_r2_mean,cv_r2_std,n_nonzero,n_zero
0.001,-1.0394688077378482,3.084143662461681,28,16
0.0031622776601683794,-0.10054948144921864,1.3958984879727243,25,19
0.01,0.5176719308431866,0.1684180762421893,16,28
0.03162277660168379,0.576567257900914,0.010170686931411793,8,36
0.1,0.5023942788875196,0.01124699370586858,3,41
0.31622776601683794,0.41579486192792536,0.00800309539257172,2,42
1.0,-0.00012407426113414388,0.00011005660556482638,0,44
3.1622776601683795,-0.00012407426113414388,0.00011005660556482638,0,44
10.0,-0.00012407426113414388,0.00011005660556482638,0,44
31.622776601683793,-0.00012407426113414388,0.00011005660556482638,0,44
100.0,-0.00012407426113414388,0.00011005660556482638,0,44
316.22776601683796,-0.00012407426113414388,0.00011005660556482638,0,44
1000.0,-0.00012407426113414388,0.00011005660556482638,0,44
