alpha,cv_r2_mean,cv_r2_std
0.001,-0.2420093390639504,0.8119851440547396
0.0031622776601683794,-0.10705446566964341,0.7084505653326364
0.01,0.1279256615206283,0.5194259505284307
0.03162277660168379,0.39009091852603817,0.29046536536834844
0.1,0.5744044760867331,0.13511957199011052
0.31622776601683794,0.6061703270439465,0.0704236623299138
1.0,0.38096433207784897,0.2805309785789857
3.1622776601683795,-0.12221805974461722,1.1188896725078412
10.0,-0.6445626718205845,2.2494509153839903
31.622776601683793,-0.8428780671816739,2.811170944385871
100.0,-0.5219824215504981,2.268595625111029
316.22776601683796,0.070456201091047,1.1012329620001478
1000.0,0.4452559195563426,0.31261237149351706
