C,cv_auc_mean,cv_auc_std
0.001,0.8376483438039406,0.005192264615663093
0.0031622776601683794,0.8406569920953084,0.00572827699111263
0.01,0.8423399614468806,0.006264886558478451
0.03162277660168379,0.8434683396972676,0.006555571019266794
0.1,0.8444796346219855,0.006950523378397492
0.31622776601683794,0.8449667367947242,0.007061874388661404
1.0,0.8451784614894994,0.007141658077514712
3.1622776601683795,0.8452072388963074,0.007252917548192257
10.0,0.8452207611954107,0.0072567635885482035
31.622776601683793,0.8451948762229687,0.007248324224256378
100.0,0.845172613093372,0.007279259453241885
