outer_fold,outer_score,best_C,inner_best
0,0.8333333333333334,0.1,0.8523206751054851
1,0.8666666666666667,0.01,0.8227848101265822
2,0.847457627118644,10.0,0.8489978902953585
3,0.7627118644067796,10.0,0.8443037974683545
4,0.7966101694915254,0.01,0.8527426160337553
