ccp_alpha,train_acc,test_acc,n_nodes,depth
0.0,1.0,1.0,17,5
0.0022367316575438176,0.9988188046302858,0.9978738483345145,15,4
0.005088226207999418,0.9959839357429718,0.9950389794472005,13,4
0.009137598837047858,0.9893692416725727,0.9865343727852587,11,4
0.024959652654017346,0.951334750767777,0.9418851878100638,7,3
0.029198144331765118,0.9381053626269785,0.9390503189227498,5,2
0.08410678278425227,0.8948736120954406,0.9099929128277817,3,1
0.29246454184028114,0.6180014174344437,0.6180014174344437,1,0
