degree,interaction_only,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std
1,False,0.6037118183216095,0.00790182959578718,0.5315837981704192,0.0028498291917005165
1,True,0.6037118183216095,0.00790182959578718,0.5315837981704192,0.0028498291917005165
2,False,-0.32602298298631505,0.8763390610682513,0.47847251764803317,0.012840934514612995
2,True,-0.05164572974651813,0.8491551735687899,0.49178126873390954,0.010972850916984793
3,False,-54701.24697806263,108929.33900536686,2.4733381192862884,3.6245638895680896
3,True,-11.792936687539424,17.818685672702184,0.5171830301923774,0.05411158647549877
4,False,-8861192850.596977,16725197220.386724,951.8385287042809,1382.6963204852968
4,True,-757.146646722306,1222.6038532629311,0.806620583021652,0.3645352028216549
5,False,-4583582889145118.0,9166843545337990.0,541249.7250824843,1074670.0948699347
5,True,-1437.3059879530806,1902.1193194467744,0.9847947052073286,0.49531307132577346
6,False,-4.402894427216786e+16,8.80578308327453e+16,1669929.5661633944,3334552.4063589745
6,True,-1678.5792284186714,2313.924056990579,1.014044166779754,0.5107578042946505
