degree,interaction_only,n_features,condition_number
1,False,8,6.459855442588222
1,True,8,6.459855442588222
2,False,44,8769.10638215171
2,True,36,1674.6413260805634
3,False,164,10610868.75738848
3,True,92,13352.067858565193
4,False,494,14339635990.03829
4,True,162,57066.68484376181
5,False,1286,30382052802913.223
5,True,218,212749.13866346912
6,False,3002,1.6388118650153984e+17
6,True,246,483263.31869657285
