n_neighbors,weights,metric,acc_mean,acc_std,f1_mean,f1_std,n_seeds
1,uniform,euclidean,0.7599058380414312,0.004249282041783977,0.7425141676456791,0.0039104928532397885,3
1,uniform,manhattan,0.7631638418079096,0.011026168338271646,0.7467547230024838,0.010694538661743415,3
1,uniform,minkowski_p3,0.7677024482109228,0.008327708316793865,0.7476362220092915,0.005959446781188816,3
1,distance,euclidean,0.7599058380414312,0.004249282041783977,0.7425141676456791,0.0039104928532397885,3
1,distance,manhattan,0.7631638418079096,0.011026168338271646,0.7467547230024838,0.010694538661743415,3
1,distance,minkowski_p3,0.7677024482109228,0.008327708316793865,0.7476362220092915,0.005959446781188816,3
3,uniform,euclidean,0.8306026365348398,0.004043222837818964,0.8152284962397426,0.003720331024153513,3
3,uniform,manhattan,0.8328060263653484,0.004233980713796841,0.8205249708936377,0.006526578247296268,3
3,uniform,minkowski_p3,0.8227306967984934,0.007156853978643015,0.8049357364424043,0.009717346078705008,3
3,distance,euclidean,0.8261205273069679,0.004075200766576828,0.8098650568626101,0.0033109761461532893,3
3,distance,manhattan,0.8283239171374763,0.002815930649451954,0.8150770074868093,0.005777352758330949,3
3,distance,minkowski_p3,0.8216007532956686,0.0085121993899286,0.8039833554900234,0.010980730569661016,3
5,uniform,euclidean,0.8205649717514124,0.0014826248155001462,0.8000874942005716,0.00018107988263731356,3
5,uniform,manhattan,0.8351224105461394,0.00542104715040051,0.8149941855677004,0.006076759223698742,3
5,uniform,minkowski_p3,0.8183239171374764,0.0052838872091816496,0.7959374171902924,0.004485842512150995,3
5,distance,euclidean,0.8160828625235405,0.0016193666912772888,0.7947642141914774,0.0011119401715635922,3
5,distance,manhattan,0.832919020715631,0.006840644328600876,0.8132314425990675,0.007204495931995534,3
5,distance,minkowski_p3,0.8194538606403013,0.005562477732900788,0.7970501409445255,0.004893558475975018,3
7,uniform,euclidean,0.8161205273069682,0.004314138828276484,0.7941864913109683,0.0062250760886914894,3
7,uniform,manhattan,0.8283992467043314,0.002700199856072662,0.8052148317616031,0.003975692440209427,3
7,uniform,minkowski_p3,0.8238794726930321,0.006220906551645569,0.8032553625336843,0.006971589245890954,3
7,distance,euclidean,0.8105273069679849,0.00644585204226931,0.7896684801747081,0.0070809407392552915,3
7,distance,manhattan,0.825009416195857,0.002700199856072662,0.8020458143293333,0.003896636071355348,3
7,distance,minkowski_p3,0.8205273069679849,0.0068522997139914285,0.8003710323179288,0.008199430011860307,3
11,uniform,euclidean,0.84075329566855,0.006986842706336172,0.8213372706024482,0.005853974193951476,3
11,uniform,manhattan,0.8340301318267421,0.0014921625453513418,0.8095536261535979,0.00028815407277393536,3
11,uniform,minkowski_p3,0.8216760828625236,0.005581763329762224,0.797520224490596,0.006536453364812453,3
11,distance,euclidean,0.8396233521657251,0.005780102508912043,0.8202829850735647,0.00449998601352688,3
11,distance,manhattan,0.8329378531073446,0.0030361647101795307,0.8102464539236388,0.0022312726830057555,3
11,distance,minkowski_p3,0.8205649717514126,0.004318493681977008,0.7972668494750522,0.004713099291626563,3
15,uniform,euclidean,0.8440866290018832,0.0016926119524385678,0.8207356523786653,0.0021134991923186307,3
15,uniform,manhattan,0.8396610169491526,0.003076200715480823,0.817942923856621,0.0022300082057177583,3
15,uniform,minkowski_p3,0.8385122410546141,0.0027237394322314297,0.8148314813755825,0.002779876230731932,3
15,distance,euclidean,0.84075329566855,0.0043235004425292095,0.8168878868680624,0.0050295692002353546,3
15,distance,manhattan,0.8362900188323916,0.003049568446879219,0.8145633401615061,0.0017883546124123268,3
15,distance,minkowski_p3,0.836271186440678,0.004184606595964096,0.8128479303354278,0.004061782973370503,3
21,uniform,euclidean,0.8429943502824858,0.0056960435913268,0.8184816355895178,0.0055002236876439846,3
21,uniform,manhattan,0.8351224105461394,0.005674021797285194,0.810932344131969,0.005360754452178722,3
21,uniform,minkowski_p3,0.8430508474576272,0.004318493681977067,0.8182670031036835,0.005191985474367588,3
21,distance,euclidean,0.8419020715630885,0.0072543096448353305,0.8175869693191103,0.0067416507060923,3
21,distance,manhattan,0.8340301318267419,0.0016246144501837543,0.8111270400625353,0.001594937176183694,3
21,distance,minkowski_p3,0.8385499058380415,0.005627892559289616,0.8139161027962615,0.00656361828785617,3
31,uniform,euclidean,0.8475141242937854,0.0015622941734054032,0.822034680053758,0.0008813004642710029,3
31,uniform,manhattan,0.8351224105461393,0.00023671949321990414,0.8081350471535239,0.000625427783729619,3
31,uniform,minkowski_p3,0.8452354048964219,0.007332212202846628,0.8199233625370264,0.0089668777831676,3
31,distance,euclidean,0.8475141242937854,0.0015622941734054032,0.8223981945349196,0.0013049482553718682,3
31,distance,manhattan,0.8396045197740114,0.005895952370425405,0.81332338045882,0.006964805246981709,3
31,distance,minkowski_p3,0.8441431261770246,0.0042933722998246895,0.8188675555988665,0.004927511067940719,3
