,RandomForest,ExtraTrees,GradientBoosting,XGBoost,LightGBM
RandomForest,1.0,0.9624017502633498,0.6747730774759909,0.3870837047240904,0.8900506943764253
ExtraTrees,0.9624017502633498,1.0,0.594276961914523,0.4006968641114983,0.8094833152479155
GradientBoosting,0.6747730774759909,0.594276961914523,1.0,0.6790694461816885,0.6800324396540992
XGBoost,0.3870837047240904,0.4006968641114983,0.6790694461816885,1.0,0.3282674904129426
LightGBM,0.8900506943764253,0.8094833152479155,0.6800324396540992,0.3282674904129426,1.0
