k,full_inertia,mini_inertia,full_time_s,mini_time_s,ari_agreement
3,476.78755441351586,496.4229096396141,0.003639291999999905,0.0076779999999994075,0.7256347125187712
5,325.0949800888802,337.1656991071467,0.0050575420000003035,0.006193458999999457,0.5591092854749788
8,199.7504611206557,231.26849580952603,0.004558333000000303,0.006586333000000444,0.6428365379542792
