init,n_init,inertia_mean,inertia_std,silhouette_mean,time_mean_s
k-means++,1,332.199627761254,3.8364316736157145,0.3122179063752902,0.0009486581999999189
k-means++,5,328.2397165342447,3.7243612992496726,0.31686665403240344,0.0025183082000001635
k-means++,10,327.81445338698506,3.1053582282384813,0.3146793053596911,0.005205466800000025
k-means++,25,325.59176115367376,0.4834653310242102,0.3172314809961644,0.011322175000000101
random,1,344.3995724537277,6.505071556446457,0.29597553823496653,0.0006260334000002032
random,5,333.65956282316984,4.755886801291291,0.30766496870294596,0.0015060084000003472
random,10,328.5521751927121,2.408276720274759,0.31646166432220485,0.0030943415999999503
random,25,326.2689070376942,1.1118653793834314,0.3157337387506348,0.0078068752000000075
